jday,date,month,year,hour,min,sec,speed,direction
175.236111111111,25,6,10,5,40,0,11.805,117.871
175.243055555556,25,6,10,5,50,0,11.359,129.624
175.25,25,6,10,6,0,0,9.406,128.895
175.256944444444,25,6,10,6,10,0,10.533,120.955
175.263888888889,25,6,10,6,20,0,9.617,120.035
175.270833333333,25,6,10,6,30,0,10.239,119.29
175.277777777778,25,6,10,6,40,0,10.463,119.655
175.284722222222,25,6,10,6,50,0,11.111,114.446
175.291666666667,25,6,10,7,0,0,10.636,127.743
175.298611111111,25,6,10,7,10,0,10.111,112.587
175.305555555556,25,6,10,7,20,0,12.395,116.275
175.3125,25,6,10,7,30,0,12.68,121.036
175.319444444444,25,6,10,7,40,0,12.875,120.692
175.326388888889,25,6,10,7,50,0,13.739,122.108
175.333333333333,25,6,10,8,0,0,14.703,129.236
175.340277777778,25,6,10,8,10,0,14.574,129.679
175.347222222222,25,6,10,8,20,0,14.268,126.454
175.354166666667,25,6,10,8,30,0,15.684,125.963
175.361111111111,25,6,10,8,40,0,15.179,135.94
175.368055555556,25,6,10,8,50,0,15.058,128.498
175.375,25,6,10,9,0,0,15.488,122.426
175.381944444444,25,6,10,9,10,0,19.261,125.17
175.388888888889,25,6,10,9,20,0,12.373,131.878
175.395833333333,25,6,10,9,30,0,12.384,131.323
175.402777777778,25,6,10,9,40,0,11.445,136.951
175.409722222222,25,6,10,9,50,0,14.165,131.428
175.416666666667,25,6,10,10,0,0,7.558,121.475
175.423611111111,25,6,10,10,10,0,7.95,118.686
175.430555555556,25,6,10,10,20,0,6.417,116.65
175.4375,25,6,10,10,30,0,6.39,123.111
175.444444444444,25,6,10,10,40,0,6.379,100.328
175.451388888889,25,6,10,10,50,0,7.006,105.225
175.458333333333,25,6,10,11,0,0,4.025,144.071
175.465277777778,25,6,10,11,10,0,2.45,102.119
175.472222222222,25,6,10,11,20,0,2.35,47.403
175.479166666667,25,6,10,11,30,0,2.096,50.544
175.486111111111,25,6,10,11,40,0,1.804,95.851
175.493055555556,25,6,10,11,50,0,2.178,30.414
175.5,25,6,10,12,0,0,3.157,31.908
175.506944444444,25,6,10,12,10,0,2.252,330.451
175.513888888889,25,6,10,12,20,0,4.459,331.748
175.520833333333,25,6,10,12,30,0,4.217,322.981
175.527777777778,25,6,10,12,40,0,3.953,336.455
175.534722222222,25,6,10,12,50,0,5.404,325.803
175.541666666667,25,6,10,13,0,0,6.822,347.06
175.548611111111,25,6,10,13,10,0,10.076,324.543
175.555555555556,25,6,10,13,20,0,8.756,313.422
175.5625,25,6,10,13,30,0,8.072,330.552
175.569444444444,25,6,10,13,40,0,11.999,326.032
175.576388888889,25,6,10,13,50,0,10.375,317.535
175.583333333333,25,6,10,14,0,0,11.873,336.539
175.590277777778,25,6,10,14,10,0,11.987,326.706
175.597222222222,25,6,10,14,20,0,11.297,317.589
175.604166666667,25,6,10,14,30,0,11.068,320.652
175.611111111111,25,6,10,14,40,0,11.798,316.017
175.618055555556,25,6,10,14,50,0,11.586,316.613
175.625,25,6,10,15,0,0,10.449,319.689
175.631944444444,25,6,10,15,10,0,8.864,325.918
175.638888888889,25,6,10,15,20,0,9.253,316.023
175.645833333333,25,6,10,15,30,0,8.518,322.364
175.652777777778,25,6,10,15,40,0,8.478,311.707
175.659722222222,25,6,10,15,50,0,8.362,320.288
175.666666666667,25,6,10,16,0,0,7.26,320.741
175.673611111111,25,6,10,16,10,0,6.243,322.24
175.680555555556,25,6,10,16,20,0,5.99,331.278
175.6875,25,6,10,16,30,0,4.781,346.365
175.694444444444,25,6,10,16,40,0,4.815,357.379
175.701388888889,25,6,10,16,50,0,2.979,295.268
175.708333333333,25,6,10,17,0,0,4.022,281.561
175.715277777778,25,6,10,17,10,0,4.007,320.792
175.722222222222,25,6,10,17,20,0,1.501,8.581
175.729166666667,25,6,10,17,30,0,1.168,11.092
175.736111111111,25,6,10,17,40,0,0.654,329.45
175.743055555556,25,6,10,17,50,0,1.955,340.343
175.75,25,6,10,18,0,0,0.928,3.523
175.756944444444,25,6,10,18,10,0,1.178,239.039
175.763888888889,25,6,10,18,20,0,1.425,51.413
175.770833333333,25,6,10,18,30,0,2.886,139.684
175.777777777778,25,6,10,18,40,0,2.338,184.263
175.784722222222,25,6,10,18,50,0,3.165,181.055
175.791666666667,25,6,10,19,0,0,5.244,170.143
175.798611111111,25,6,10,19,10,0,6.414,174.607
175.805555555556,25,6,10,19,20,0,5.452,171.781
175.8125,25,6,10,19,30,0,4.995,156.793
175.819444444444,25,6,10,19,40,0,6.88,141.071
175.826388888889,25,6,10,19,50,0,6.846,156.435
175.833333333333,25,6,10,20,0,0,9.147,149.344
175.840277777778,25,6,10,20,10,0,8.926,148.875
175.847222222222,25,6,10,20,20,0,8.997,139.306
175.854166666667,25,6,10,20,30,0,8.52,147.169
175.861111111111,25,6,10,20,40,0,10.569,119.594
175.868055555556,25,6,10,20,50,0,9.858,144.749
175.875,25,6,10,21,0,0,7.482,143.686
175.881944444444,25,6,10,21,10,0,12.95,140.329
175.888888888889,25,6,10,21,20,0,11.191,138.288
175.895833333333,25,6,10,21,30,0,15.765,132.958
175.902777777778,25,6,10,21,40,0,11.709,137.973
175.909722222222,25,6,10,21,50,0,14.276,127.824
175.916666666667,25,6,10,22,0,0,13.147,135.52
175.923611111111,25,6,10,22,10,0,14.317,143.681
175.930555555556,25,6,10,22,20,0,12.359,132.726
175.9375,25,6,10,22,30,0,12.055,134.867
175.944444444444,25,6,10,22,40,0,11.161,133.538
175.951388888889,25,6,10,22,50,0,14.958,129.817
175.958333333333,25,6,10,23,0,0,10.478,140.007
175.965277777778,25,6,10,23,10,0,12.717,138.367
175.972222222222,25,6,10,23,20,0,10.99,136.037
175.979166666667,25,6,10,23,30,0,12.101,143.326
175.986111111111,25,6,10,23,40,0,8.401,123.425
175.993055555556,25,6,10,23,50,0,10.224,130.102
176,26,6,10,0,0,0,7.492,134.859
176.006944444444,26,6,10,0,10,0,8.101,125.299
176.013888888889,26,6,10,0,20,0,7.552,138.406
176.020833333333,26,6,10,0,30,0,7.682,131.952
176.027777777778,26,6,10,0,40,0,6.501,120.707
176.034722222222,26,6,10,0,50,0,5.384,136.302
176.041666666667,26,6,10,1,0,0,5.802,124.117
